Commit SHA, Java File, Old function signature, New function signature 
8b529f6029624cd7e0cba8ae658afe71cb99d4a0,JobExecutorPoller.java,JobExecutorPoller::JobExecutorPoller( ProcessEngine processEngine),JobExecutorPoller::JobExecutorPoller( JobExecutor jobExecutor , CommandExecutor commandExecutor)
3c32e6750920094c8a0a4a069ed18844096d5c60,BpmnDeployer.java,BpmnDeployer::delete( DeploymentEntity deployment),BpmnDeployer::delete( DeploymentEntity deployment , RepositorySession repositorySession)
649ddd3120283b0f8bb4e1d08ca2911e44f8d87f,VariableDeclarationImpl.java,VariableDeclarationImpl::create( ActivityContext activityContext),VariableDeclarationImpl::create( ExecutionImpl innerScope , ExecutionImpl outerScope)
649ddd3120283b0f8bb4e1d08ca2911e44f8d87f,VariableDeclarationImpl.java,VariableDeclarationImpl::destroy( ActivityContext activityContext),VariableDeclarationImpl::destroy( ExecutionImpl innerScope , ExecutionImpl outerScope)
e622e3b5003c062b0867a4a05f85fcf5c6a8a10c,DbRuntimeSession.java,DbRuntimeSession::findExecutionsByQueryCriteria( Object executionQuery),DbRuntimeSession::findExecutionsByQueryCriteria( Object executionQuery , Page page)
70e239d4be6b36f106566b318373e9b951b8eee4,TreeGet.java,TreeGet::expandTree(),TreeGet::expandTree( List<TreeFolderDto> tree , String connectorId , String nodeId)
70e239d4be6b36f106566b318373e9b951b8eee4,TreeGet.java,TreeGet::expandNode( TreeFolderDto dto , boolean expandChildren),TreeGet::expandNode( TreeFolderDto dto , boolean expandChildren , String connectorId)
ce004913e98b1f8090de7314d018dfcb1ca57f83,CustomIdentitySession.java,CustomIdentitySession::setUserInfo( String userId , String type , String key , String value , String password),CustomIdentitySession::setUserInfo( String userId , String userPassword , String type , String key , String value , String accountPassword , Map<String,String> accountDetails)
5190cd549abfef6a4129ce6ea2e521daf7174fa5,ProcessDefinitionEntity.java,ProcessDefinitionEntity::newProcessInstance(),ProcessDefinitionEntity::newProcessInstance( ActivityImpl activityImpl)
5190cd549abfef6a4129ce6ea2e521daf7174fa5,ProcessDefinitionImpl.java,ProcessDefinitionImpl::getInitialActivityStack(),ProcessDefinitionImpl::getInitialActivityStack( ActivityImpl startActivity)
5190cd549abfef6a4129ce6ea2e521daf7174fa5,ProcessDefinitionImpl.java,ProcessDefinitionImpl::getInitialActivityStack(),ProcessDefinitionImpl::getInitialActivityStack( ActivityImpl startActivity)
5190cd549abfef6a4129ce6ea2e521daf7174fa5,ProcessDefinitionImpl.java,ProcessDefinitionImpl::newProcessInstance(),ProcessDefinitionImpl::newProcessInstance( ActivityImpl startActivity)
457df099eaa7bad415faf7638cdd5488bc304e35,DeploymentResourceResponse.java,DeploymentResourceResponse::DeploymentResourceResponse( String resourceId , String url , String contentUrl),DeploymentResourceResponse::DeploymentResourceResponse( String resourceId , String url , String contentUrl , String mediaType , DeploymentResourceType type)
ea46e5ed9be1cbaec6d797c6c82447e498d5e9ba,ProcessDefinitionResource.java,ProcessDefinitionResource::activateProcessDefinition( ProcessDefinition processDefinition),ProcessDefinitionResource::activateProcessDefinition( ProcessDefinition processDefinition , boolean suspendInstances , Date date)
ea46e5ed9be1cbaec6d797c6c82447e498d5e9ba,ProcessDefinitionResource.java,ProcessDefinitionResource::suspendProcessDefinition( ProcessDefinition processDefinition),ProcessDefinitionResource::suspendProcessDefinition( ProcessDefinition processDefinition , boolean suspendInstances , Date date)
8fcd1c66f22b71bd48942f07593a2ee4cf89cc6f,RestResponseFactory.java,RestResponseFactory::createRestIdentityLink( SecuredResource securedResource , String type , String userId , String groupId , String taskId , String processDefinitionId),RestResponseFactory::createRestIdentityLink( SecuredResource securedResource , String type , String userId , String groupId , String taskId , String processDefinitionId , String processInstanceId)
8fcd1c66f22b71bd48942f07593a2ee4cf89cc6f,RestResponseFactory.java,RestResponseFactory::createRestIdentityLink( SecuredResource securedResource , String type , String userId , String groupId , String taskId , String processDefinitionId),RestResponseFactory::createRestIdentityLink( SecuredResource securedResource , String type , String userId , String groupId , String taskId , String processDefinitionId , String processInstanceId)
